F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,Class
9,16,1,1,1,False,101,False,False,0,False,False,False,False,0,3,False,2,False,False,NomAnaph
5,10,1,0,0,False,109,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
1,14,2,0,1,False,14,False,False,0,False,False,False,False,0,0,False,4,False,False,NomAnaph
1,14,2,0,1,False,14,False,False,0,False,False,False,False,0,0,False,4,False,False,NomAnaph
1,10,1,0,1,False,14,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
19,22,1,2,0,False,255,False,False,0,False,False,False,False,0,0,False,5,False,False,NomAnaph
5,6,1,1,0,False,169,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
1,24,1,0,2,False,8,False,False,0,False,False,False,False,0,11,False,4,False,False,NomAnaph
1,26,2,0,3,False,17,False,False,0,False,False,False,False,0,5,False,3,False,False,NomAnaph
1,39,3,0,5,False,14,False,False,0,False,False,False,False,0,5,False,4,False,False,NomAnaph
11,12,1,1,0,False,250,False,False,0,False,False,False,False,0,0,False,5,False,False,NomAnaph
65,70,6,7,0,False,263,False,False,1,False,False,False,False,0,0,False,3,False,False,NomAnaph
16,35,6,1,2,False,79,False,False,0,False,False,False,False,0,1,False,2,False,False,NomAnaph
9,10,1,1,0,False,146,False,False,0,False,False,False,False,0,0,False,2,False,False,ClauseAnaph
1,20,1,0,1,False,9,False,False,1,False,False,False,False,0,11,False,3,False,False,ClauseAnaph
7,26,1,1,3,False,265,False,False,1,False,False,False,True,0,7,False,3,False,False,NomAnaph
15,34,2,2,1,False,72,False,False,1,False,False,False,True,0,9,False,4,False,False,NomAnaph
6,118,8,0,14,False,217,False,False,4,False,False,False,True,0,29,False,4,False,False,NomAnaph
6,118,8,0,14,False,217,False,False,4,False,False,False,True,0,29,False,4,False,False,NomAnaph
13,18,1,1,0,False,155,False,False,0,False,False,False,False,0,0,False,2,False,False,NomAnaph
54,57,4,6,0,False,119,False,False,0,False,False,False,False,0,0,False,2,False,False,NomAnaph
3,14,1,0,0,True,20,False,False,1,False,False,False,False,0,3,False,3,False,False,NomAnaph
1,6,1,0,1,False,19,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
1,16,1,0,2,False,9,False,False,1,False,False,False,True,0,7,False,3,False,False,ClauseAnaph
16,52,3,2,5,False,242,False,False,0,False,False,False,False,0,3,False,3,False,False,NomAnaph
19,26,1,2,0,False,138,False,False,0,False,False,False,False,0,0,False,4,False,False,NomAnaph
1,39,4,0,4,False,14,False,False,2,False,False,False,True,0,5,False,3,False,False,NomAnaph
32,35,2,5,0,False,125,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
1,42,2,0,2,False,8,False,False,0,False,False,False,False,0,7,False,4,False,False,NomAnaph
15,16,1,1,0,False,146,False,False,0,False,False,False,False,0,0,False,2,False,False,NomAnaph
7,14,1,1,1,False,203,False,False,0,False,False,False,False,0,1,False,2,False,False,NomAnaph
20,23,2,3,0,False,188,False,False,0,False,False,False,False,0,0,False,2,False,False,NomAnaph
29,43,4,4,2,False,130,False,False,0,False,False,False,False,0,0,False,5,False,False,NomAnaph
